"","Location","Year","Kilometers_Driven","Fuel_Type","Transmission","Owner_Type","Mileage","Engine","Power","Seats","New_Price","Price"
"42","Kolkata",2019,1000,"Petrol","Manual","First",24.7,796,47.3,5,3.99,2.97155
"44","Jaipur",2017,30000,"Petrol","Manual","First",25.17,799,53.3,5,3.96,2.97155
"45","Kochi",2018,16292,"Petrol","Manual","First",25.17,799,53.3,5,3.95,2.97155
"46","Delhi",2016,22000,"Petrol","Manual","First",25.17,799,53.3,5,4.02,2.97155
"47","Jaipur",2018,46000,"Petrol","Manual","First",22.7,799,53.64,5,3.99,2.97155
"70","Delhi",2017,33000,"CNG","Manual","First",32.26,998,58.2,4,4.66,3.94681318681319
"88","Jaipur",2013,160000,"Diesel","Manual","Second",15.96,2523,62.1,7,10.86,3.94681318681319
"89","Delhi",2015,72253,"Diesel","Manual","First",15.96,2523,62.1,7,10.94,3.94681318681319
"90","Kochi",2016,78904,"Diesel","Manual","First",15.96,2523,62.1,7,10.94,3.94681318681319
"103","Mumbai",2013,26000,"Diesel","Manual","First",20.8,1461,64.1,5,8.92,3.94681318681319
"105","Hyderabad",2012,20000,"Diesel","Manual","First",21.03,1461,65,5,9.12,2.85541446208113
"114","Mumbai",2015,18000,"Petrol","Manual","First",19.83,1198,67,5,5.74,3.94681318681319
"115","Chennai",2016,36000,"Petrol","Manual","First",19.83,1198,67,5,5.53,3.94681318681319
"118","Mumbai",2018,7000,"Petrol","Manual","First",23,998,67,5,5.78,3.94681318681319
"121","Coimbatore",2011,37492,"Petrol","Automatic","First",22.5,998,67,5,6.33,2.85541446208113
"122","Hyderabad",2016,26000,"Petrol","Automatic","First",22.5,998,67,5,6.44,3.94681318681319
"124","Kochi",2018,19964,"Petrol","Automatic","First",22.5,999,67,5,5.31,3.94681318681319
"125","Mumbai",2015,21000,"Petrol","Manual","First",19.83,1198,67,7,6.7,3.94681318681319
"132","Delhi",2012,64692,"Petrol","Manual","First",22.5,998,67.04,5,4.59,2.85541446208113
"133","Kolkata",2014,54841,"Petrol","Manual","First",22.5,998,67.04,5,4.75,3.94681318681319
"134","Delhi",2018,22296,"Petrol","Manual","Second",22.5,998,67.04,5,4.59,3.94681318681319
"135","Kochi",2015,29347,"Petrol","Manual","First",22.5,998,67.04,5,5.04,3.94681318681319
"137","Chennai",2010,36000,"Petrol","Manual","Second",22.5,998,67.04,5,5.51,2.85541446208113
"138","Ahmedabad",2015,82000,"Petrol","Manual","First",22.5,998,67.04,5,5.27,3.94681318681319
"141","Coimbatore",2017,45105,"Petrol","Manual","First",19.69,1198,67.04,5,6.78,3.94681318681319
"142","Pune",2016,104350,"Diesel","Manual","First",23.59,1364,67.04,5,8.94,3.94681318681319
"144","Chennai",2014,70000,"Diesel","Manual","Second",23.59,1364,67.06,5,9.27,3.94681318681319
"147","Kochi",2017,42954,"Petrol","Manual","First",24.07,998,67.1,5,3.91,3.94681318681319
"148","Kochi",2017,18090,"Petrol","Manual","First",24.07,998,67.1,5,4.25,3.94681318681319
"149","Bangalore",2014,63000,"Petrol","Manual","Second",24.07,998,67.1,5,4.7,3.94681318681319
"150","Chennai",2018,7300,"Petrol","Manual","Second",24.07,998,67.1,5,4.5,3.94681318681319
"151","Kochi",2016,39549,"Petrol","Manual","First",24.07,998,67.1,5,4.09,3.94681318681319
"152","Kochi",2016,27535,"Petrol","Manual","First",24.07,998,67.1,5,4.09,3.94681318681319
"190","Pune",2016,41413,"Diesel","Manual","First",27.28,1047,69,5,7.06,3.94681318681319
"203","Coimbatore",2018,19764,"Diesel","Manual","First",16.5,1493,70,7,10.51,3.94681318681319
